task,file,bytes,sha256,train_examples,arc_gen_examples,test_examples,input_shapes,output_shapes
task050,tasks/task050.json,148439,9852ed56b07c2d080e01916e805c03814e01fa22ba218c62a6b5c12df0dc5104,8,262,1,10x10;10x11;10x12;10x14;10x3;10x4;10x5;10x6;10x7;10x8;11x10;11x12;11x14;11x15;11x4;11x5;11x6;11x7;11x8;11x9;12x10;12x11;12x12;12x13;12x14;12x3;12x4;12x5;12x6;12x7;12x8;13x11;13x13;13x14;13x15;13x3;13x4;13x5;13x7;13x8;13x9;14x10;14x11;14x12;14x13;14x14;14x15;14x4;14x5;14x6;14x7;14x8;14x9;15x11;15x12;15x13;15x14;15x3;15x4;15x6;15x7;15x8;15x9;3x10;3x11;3x12;3x14;3x15;3x3;3x4;3x5;3x7;4x10;4x11;4x12;4x13;4x14;4x15;4x3;4x6;4x7;4x8;4x9;5x11;5x12;5x13;5x15;5x4;5x5;5x6;5x7;5x8;5x9;6x10;6x11;6x13;6x14;6x15;6x3;6x4;6x5;6x6;6x8;7x11;7x12;7x13;7x14;7x15;7x3;7x4;7x5;7x6;7x7;7x8;7x9;8x10;8x12;8x13;8x15;8x3;8x4;8x5;8x8;8x9;9x11;9x13;9x15;9x3;9x5;9x6;9x7;9x9,10x10;10x11;10x12;10x14;10x3;10x4;10x5;10x6;10x7;10x8;11x10;11x12;11x14;11x15;11x4;11x5;11x6;11x7;11x8;11x9;12x10;12x11;12x12;12x13;12x14;12x3;12x4;12x5;12x6;12x7;12x8;13x11;13x13;13x14;13x15;13x3;13x4;13x5;13x7;13x8;13x9;14x10;14x11;14x12;14x13;14x14;14x15;14x4;14x5;14x6;14x7;14x8;14x9;15x11;15x12;15x13;15x14;15x3;15x4;15x6;15x7;15x8;15x9;3x10;3x11;3x12;3x14;3x15;3x3;3x4;3x5;3x7;4x10;4x11;4x12;4x13;4x14;4x15;4x3;4x6;4x7;4x8;4x9;5x11;5x12;5x13;5x15;5x4;5x5;5x6;5x7;5x8;5x9;6x10;6x11;6x13;6x14;6x15;6x3;6x4;6x5;6x6;6x8;7x11;7x12;7x13;7x14;7x15;7x3;7x4;7x5;7x6;7x7;7x8;7x9;8x10;8x12;8x13;8x15;8x3;8x4;8x5;8x8;8x9;9x11;9x13;9x15;9x3;9x5;9x6;9x7;9x9
task051,tasks/task051.json,373363,16b29b19adb162e6a3fb64007f0afc457be1b3cfa4bad6feeec50890164f7b04,3,261,1,10x10;10x11;10x12;10x14;10x15;10x16;10x17;10x18;10x19;11x10;11x11;11x12;11x13;11x14;11x15;11x16;11x17;11x18;11x19;11x20;12x10;12x12;12x13;12x14;12x15;12x16;12x18;13x10;13x11;13x13;13x14;13x15;13x16;13x17;13x18;13x19;13x20;14x10;14x11;14x12;14x13;14x14;14x15;14x16;14x17;14x18;14x19;14x20;15x10;15x11;15x12;15x13;15x14;15x15;15x16;15x17;15x18;15x19;15x20;16x10;16x11;16x12;16x13;16x14;16x15;16x16;16x18;16x20;17x10;17x11;17x12;17x13;17x14;17x15;17x16;17x17;17x18;17x19;18x10;18x11;18x12;18x13;18x14;18x15;18x16;18x17;18x18;18x19;19x10;19x11;19x12;19x13;19x14;19x15;19x17;19x18;19x19;20x10;20x11;20x12;20x13;20x14;20x15;20x16;20x18;20x19;20x20,10x10;10x11;10x12;10x14;10x15;10x16;10x17;10x18;10x19;11x10;11x11;11x12;11x13;11x14;11x15;11x16;11x17;11x18;11x19;11x20;12x10;12x12;12x13;12x14;12x15;12x16;12x18;13x10;13x11;13x13;13x14;13x15;13x16;13x17;13x18;13x19;13x20;14x10;14x11;14x12;14x13;14x14;14x15;14x16;14x17;14x18;14x19;14x20;15x10;15x11;15x12;15x13;15x14;15x15;15x16;15x17;15x18;15x19;15x20;16x10;16x11;16x12;16x13;16x14;16x15;16x16;16x18;16x20;17x10;17x11;17x12;17x13;17x14;17x15;17x16;17x17;17x18;17x19;18x10;18x11;18x12;18x13;18x14;18x15;18x16;18x17;18x18;18x19;19x10;19x11;19x12;19x13;19x14;19x15;19x17;19x18;19x19;20x10;20x11;20x12;20x13;20x14;20x15;20x16;20x18;20x19;20x20
task052,tasks/task052.json,24331,cff07accd99d0a22127edd70e58a2bac401ccc9518ce528f989a378e9c1f0f92,4,262,1,3x3,3x3
task053,tasks/task053.json,5494,da14e1dc76375cdba742cab658b0bb3b5a91de819eafe45044e164147fea83b8,4,54,2,3x3,3x3
task054,tasks/task054.json,1475004,ede17ace89cb779230845f3faa8d9b969c7bc05d655c1b5276c69344419723f3,3,262,1,30x30,30x30
task055,tasks/task055.json,560835,cb640f89fa7d64846e1089e01a12a7011e63328953b3626509bf42b9701448b6,2,262,1,10x14;10x17;10x19;10x22;10x23;10x28;11x16;11x17;11x19;11x24;11x8;11x9;12x14;12x16;12x17;12x18;12x19;12x20;12x24;12x25;12x27;13x11;13x12;13x14;13x17;13x18;13x19;13x20;13x22;13x24;13x30;14x10;14x14;14x16;14x17;14x22;14x24;14x25;14x28;15x10;15x13;15x14;15x15;15x16;15x17;15x18;15x19;15x21;15x25;15x7;15x9;16x10;16x12;16x13;16x14;16x17;16x18;16x19;16x20;16x21;16x22;16x23;16x25;16x26;16x5;17x10;17x14;17x15;17x16;17x17;17x18;17x21;17x22;17x23;17x24;17x25;17x26;17x28;18x10;18x14;18x16;18x17;18x18;18x19;18x20;18x21;18x23;18x25;18x28;18x29;19x10;19x11;19x12;19x13;19x16;19x17;19x19;19x22;19x24;19x25;19x26;19x28;19x30;20x10;20x13;20x14;20x15;20x17;20x18;20x20;20x22;20x23;21x12;21x13;21x14;21x15;21x16;21x18;21x19;21x20;21x21;21x28;22x10;22x14;22x15;22x18;22x19;22x20;22x22;23x13;23x18;23x19;23x20;23x21;23x22;23x24;24x11;24x13;24x14;24x16;24x18;24x19;24x20;24x21;24x23;24x24;24x28;24x30;25x11;25x15;25x17;25x18;25x20;25x29;25x6;26x10;26x15;26x18;26x20;26x22;26x23;27x17;27x19;28x13;28x15;28x18;28x19;28x23;29x20;29x26;31x20;32x25;6x10;7x19;8x19;8x22;9x12;9x15;9x16;9x21;9x22,10x14;10x17;10x19;10x22;10x23;10x28;11x16;11x17;11x19;11x24;11x8;11x9;12x14;12x16;12x17;12x18;12x19;12x20;12x24;12x25;12x27;13x11;13x12;13x14;13x17;13x18;13x19;13x20;13x22;13x24;13x30;14x10;14x14;14x16;14x17;14x22;14x24;14x25;14x28;15x10;15x13;15x14;15x15;15x16;15x17;15x18;15x19;15x21;15x25;15x7;15x9;16x10;16x12;16x13;16x14;16x17;16x18;16x19;16x20;16x21;16x22;16x23;16x25;16x26;16x5;17x10;17x14;17x15;17x16;17x17;17x18;17x21;17x22;17x23;17x24;17x25;17x26;17x28;18x10;18x14;18x16;18x17;18x18;18x19;18x20;18x21;18x23;18x25;18x28;18x29;19x10;19x11;19x12;19x13;19x16;19x17;19x19;19x22;19x24;19x25;19x26;19x28;19x30;20x10;20x13;20x14;20x15;20x17;20x18;20x20;20x22;20x23;21x12;21x13;21x14;21x15;21x16;21x18;21x19;21x20;21x21;21x28;22x10;22x14;22x15;22x18;22x19;22x20;22x22;23x13;23x18;23x19;23x20;23x21;23x22;23x24;24x11;24x13;24x14;24x16;24x18;24x19;24x20;24x21;24x23;24x24;24x28;24x30;25x11;25x15;25x17;25x18;25x20;25x29;25x6;26x10;26x15;26x18;26x20;26x22;26x23;27x17;27x19;28x13;28x15;28x18;28x19;28x23;29x20;29x26;31x20;32x25;6x10;7x19;8x19;8x22;9x12;9x15;9x16;9x21;9x22
task056,tasks/task056.json,2932,bf5c8f168cf8a787d56527aad9d910ee71e2b05e392227eaa57138c3082ecc6c,7,36,3,3x3,1x1
task057,tasks/task057.json,77679,6730a61005cd7b0361398161cf699d767c1b4411ff6a4597226b6988c6f51367,3,261,1,8x8,3x6
task058,tasks/task058.json,24212,860fadac03090adc274f30eb36fbd2bbd05582fcb13d490f9673e6f677374d1b,5,16,1,10x10;11x11;12x12;13x13;14x14;15x15;16x16;17x17;18x18;19x19;20x20;5x5;6x6;7x7;8x8;9x9,10x10;11x11;12x12;13x13;14x14;15x15;16x16;17x17;18x18;19x19;20x20;5x5;6x6;7x7;8x8;9x9
task059,tasks/task059.json,211504,ceebf4251c2953731c179bb714a68ccd06cec4923a63f817c229c2274c20d2b9,3,262,1,11x11,11x11
task060,tasks/task060.json,99409,d93591b8ed0d06af2cb8d5644b7bc0d62c5223416eb5393953cf4af46c80411b,2,262,1,5x11,5x11
task061,tasks/task061.json,544981,8761e8384909055b727538da23c5998a7446d4678a09eb7e2211534b76ed97c2,4,262,1,18x18,18x18
task062,tasks/task062.json,177589,297642fda4efef20409acdcd67605e3482367f52b0c8ec7c3016a93040107a68,4,262,1,10x10,10x10
task063,tasks/task063.json,255372,7f8789cd5285dbe5022e3487908f0698a6806666f724c6ab218261dcbed8e536,3,262,1,10x10;12x12;14x14,10x10;12x12;14x14
task064,tasks/task064.json,474701,c1a654d1c27cca30b8fa2ea46d953f55e9fb9b97aa8bb3562ebad0fcbf719765,4,262,1,10x12;10x15;10x16;10x17;10x19;10x20;10x24;10x9;11x10;11x11;11x12;11x14;11x15;11x16;11x18;11x20;11x22;11x24;11x8;12x10;12x14;12x17;12x18;12x20;12x21;12x8;13x10;13x12;13x16;13x17;13x18;13x19;13x20;13x24;13x8;14x11;14x12;14x15;14x16;14x17;14x18;14x19;14x21;14x22;14x23;14x24;14x8;14x9;15x11;15x12;15x13;15x17;15x18;15x20;15x22;15x23;15x24;16x10;16x11;16x13;16x14;16x17;16x19;16x20;16x22;16x24;16x9;17x11;17x14;17x15;17x16;17x19;17x21;17x24;18x11;18x12;18x13;18x16;18x19;18x20;18x21;18x22;18x9;19x10;19x11;19x13;19x15;19x16;19x17;19x19;19x20;19x21;19x9;20x10;20x13;20x14;20x15;20x16;20x17;20x18;20x19;20x21;20x22;20x24;20x9;21x10;21x11;21x12;21x13;21x14;21x15;21x16;21x17;21x20;21x21;21x22;21x23;21x24;21x9;22x10;22x11;22x12;22x13;22x16;22x17;22x18;22x20;22x22;22x23;22x24;22x9;23x10;23x12;23x14;23x15;23x16;23x17;23x19;23x22;23x23;23x24;24x10;24x11;24x13;24x14;24x16;24x17;24x18;24x19;24x20;24x21;24x22;24x23;8x10;8x11;8x13;8x17;8x18;8x20;8x23;8x24;8x9;9x12;9x18;9x21;9x22;9x23;9x24,10x12;10x15;10x16;10x17;10x19;10x20;10x24;10x9;11x10;11x11;11x12;11x14;11x15;11x16;11x18;11x20;11x22;11x24;11x8;12x10;12x14;12x17;12x18;12x20;12x21;12x8;13x10;13x12;13x16;13x17;13x18;13x19;13x20;13x24;13x8;14x11;14x12;14x15;14x16;14x17;14x18;14x19;14x21;14x22;14x23;14x24;14x8;14x9;15x11;15x12;15x13;15x17;15x18;15x20;15x22;15x23;15x24;16x10;16x11;16x13;16x14;16x17;16x19;16x20;16x22;16x24;16x9;17x11;17x14;17x15;17x16;17x19;17x21;17x24;18x11;18x12;18x13;18x16;18x19;18x20;18x21;18x22;18x9;19x10;19x11;19x13;19x15;19x16;19x17;19x19;19x20;19x21;19x9;20x10;20x13;20x14;20x15;20x16;20x17;20x18;20x19;20x21;20x22;20x24;20x9;21x10;21x11;21x12;21x13;21x14;21x15;21x16;21x17;21x20;21x21;21x22;21x23;21x24;21x9;22x10;22x11;22x12;22x13;22x16;22x17;22x18;22x20;22x22;22x23;22x24;22x9;23x10;23x12;23x14;23x15;23x16;23x17;23x19;23x22;23x23;23x24;24x10;24x11;24x13;24x14;24x16;24x17;24x18;24x19;24x20;24x21;24x22;24x23;8x10;8x11;8x13;8x17;8x18;8x20;8x23;8x24;8x9;9x12;9x18;9x21;9x22;9x23;9x24
task065,tasks/task065.json,101134,df530d8a413962d43c1a5825e4d96a61da68010714f0f48873a9a216aea302f9,3,262,1,11x11;13x13;15x15;3x3;5x5;7x7;9x9,1x1;2x2;3x3;4x4;5x5;6x6;7x7
task066,tasks/task066.json,385714,8bd770bdc7d96ed9c4760adfba964bd0cfac84f0e85868d69a3f14a20f0dcbf8,3,262,1,10x10;11x11;12x12;13x13;14x14;15x15;16x16;17x17;18x18;19x19;20x20,10x10;11x11;12x12;13x13;14x14;15x15;16x16;17x17;18x18;19x19;20x20
task067,tasks/task067.json,50796,96569e47fcb921a8ec2527ff0a61b14b65a933501bf37314a6b78f1ea27be1b3,3,262,1,2x6;3x9;4x12;5x15,2x2;3x3;4x4;5x5
task068,tasks/task068.json,176924,5b9559649ad9252fd8ca6c1a6cd3ef24584d7958ff06613456b5ad27b61fde74,3,262,1,10x10,10x10
task069,tasks/task069.json,175594,e46b6f7609bcb0c920147804879f5326cc15d20883c05b6aa5145e6fcade16ab,2,261,1,10x10,10x10
task070,tasks/task070.json,486016,c05d2c41c5d6973a3163db5b45ee34ac6905d906aadfced65864df37bcc9f832,3,262,1,17x17,17x17
task071,tasks/task071.json,430659,4148d4879cbf9e1bee60852d19018aae96b7c51bf68c7dee5d261e8077c6eadb,2,262,1,16x16,16x16
task072,tasks/task072.json,93298,1f1fdca88fcf7c68124113b742dcfa06cb5d08def6aa54acf41f480ad7db2c99,4,262,2,13x5,6x5
task073,tasks/task073.json,2959,42b5f61c806afb98da77c422b3c46bcb0c8f073f09b398cf3cd56d47e6b222cf,3,11,1,5x5,5x5
task074,tasks/task074.json,1480549,40d6031c4afac2193670e3e705e0a087e17fcdaf88ad9a3f1f5d97fea5b17b49,4,262,1,30x30,30x30
task075,tasks/task075.json,202229,ee286014ddbb070ff68eff59d7d8d65fdd11c26b38bc72b8b7e11e6e1c0b0ad4,3,261,1,9x13,9x13
task076,tasks/task076.json,335284,288b187f612ebd672de78979153fb277b2eaa41ba94bdd69e6028235bb32667c,3,262,1,13x13;13x14;13x15;14x13;14x14;14x15;15x13;15x14;15x15,13x13;13x14;13x15;14x13;14x14;14x15;15x13;15x14;15x15
task077,tasks/task077.json,512710,a2fee1b44a606c7af2f54e51d0cc62f720156f909535d7151f64c3d8d4e12533,3,262,1,15x14;15x15;15x16;16x15;16x16;16x17;17x16;17x17;17x18;18x17;18x18;18x19;19x18;19x19;19x20;20x19;20x20;20x21,15x14;15x15;15x16;16x15;16x16;16x17;17x16;17x17;17x18;18x17;18x18;18x19;19x18;19x19;19x20;20x19;20x20;20x21
task078,tasks/task078.json,176924,6dd3bbebb5ba09a63ff6e319c60f6c86797b7e206832c534ad112427116a3946,3,262,1,10x10,10x10
task079,tasks/task079.json,179318,5df7a5039c600576e9292425507206e5c1afdc5ebc67374e932628283808af9e,3,262,1,14x14,3x3
task080,tasks/task080.json,1246204,db8bd84f88a2b8a932d970f0d2da0cfaaeaeff9f3233fed25808d7553ef42f8e,3,262,1,24x24;26x26;27x27;29x29;31x31,24x24;26x26;27x27;29x29;31x31
task081,tasks/task081.json,91642,83613076445a59869c98032576d27acf9419db9d924009400b6e1fb54d5a9bc3,2,261,1,7x7,7x7
task082,tasks/task082.json,111731,93ec1789c37a4b138d93f94cc1e73c75395f8c71ca2c0df9a57b1abc8f0c3842,2,262,1,6x10;6x11;6x12;6x13;6x14;6x15;6x5;6x6;6x7;6x8;6x9,6x10;6x11;6x12;6x13;6x14;6x15;6x5;6x6;6x7;6x8;6x9
task083,tasks/task083.json,59352,5e2c8ae08ab47acf5f1100a42586ca9f9e719145fd06642aa97082d4a157d305,3,262,1,3x4,6x8
task084,tasks/task084.json,193579,4b684a23d1714ceebd8f6055f54f0205dd5ffa8646254511decae75340b2badf,3,171,1,10x10;11x11;12x12;13x13;14x14;15x15;16x16;17x17;18x18;19x19;20x20;21x21;3x3;4x4;5x5;6x6;7x7;8x8;9x9,10x10;11x11;12x12;13x13;14x14;15x15;16x16;17x17;18x18;19x19;20x20;21x21;3x3;4x4;5x5;6x6;7x7;8x8;9x9
task085,tasks/task085.json,504035,91f45b459220b2dedf52bb8e73b96934a5aee8ac0071d85f89c167053cdcc76b,2,262,1,10x20;10x30;11x20;11x30;12x20;12x30;13x20;13x30;14x20;14x30;15x20;15x30;16x20;16x30;8x20;8x30;9x20;9x30,10x20;10x30;11x20;11x30;12x20;12x30;13x20;13x30;14x20;14x30;15x20;15x30;16x20;16x30;8x20;8x30;9x20;9x30
task086,tasks/task086.json,211804,3a7993393e8e3efc3e8dd8a451ac269d635bb7a3d80118ab90c256a4d7091032,3,262,1,10x10;11x11;12x12,10x10;11x11;12x12
task087,tasks/task087.json,24240,1b80d8ab30d0f43bf58a503f19b7f1569a551abc51949ac507538176174dbb6c,4,261,1,3x3,3x3
task088,tasks/task088.json,198895,f8c09d98ef7222ec40b23124dafb1d61d7c977f192ef4dbd932b8c5779a38c8e,4,262,1,10x10;10x11;10x12;10x13;10x14;10x15;10x16;10x18;10x19;10x20;10x21;10x7;10x8;10x9;11x10;11x12;11x13;11x15;11x16;11x17;11x18;11x20;11x23;11x8;11x9;12x11;12x12;12x13;12x14;12x15;12x16;12x17;12x18;12x19;12x8;12x9;13x10;13x11;13x12;13x13;13x14;13x15;13x17;13x18;13x20;13x7;13x8;13x9;14x10;14x11;14x12;14x13;14x14;14x16;14x18;14x19;14x8;14x9;15x10;15x11;15x12;15x13;15x14;15x15;15x16;15x19;15x20;15x24;15x7;15x8;16x10;16x11;16x12;16x13;16x14;16x15;16x16;16x17;16x19;16x20;16x22;16x24;16x7;16x8;16x9;17x10;17x11;17x12;17x13;17x14;17x18;17x19;17x7;17x8;17x9;18x10;18x14;18x16;18x17;18x18;18x19;18x20;18x22;18x8;19x12;19x14;19x16;19x22;19x8;19x9;20x10;20x11;20x12;20x13;20x14;20x15;20x17;20x18;20x8;20x9;21x10;21x12;21x13;21x16;21x17;21x24;21x7;22x10;22x17;22x19;22x9;24x11;24x12;24x22;7x10;7x15;7x7;8x10;8x11;8x13;8x14;8x16;8x17;8x18;8x19;8x9;9x10;9x11;9x12;9x13;9x14;9x15;9x16;9x19;9x21;9x7;9x8;9x9,10x10;10x3;10x4;10x5;10x6;10x7;10x8;10x9;3x10;3x3;3x4;3x5;3x6;3x7;3x8;3x9;4x10;4x3;4x4;4x5;4x6;4x7;4x8;4x9;5x10;5x3;5x4;5x5;5x7;5x8;5x9;6x10;6x3;6x4;6x5;6x6;6x7;6x8;6x9;7x10;7x3;7x4;7x5;7x6;7x7;7x8;7x9;8x10;8x3;8x4;8x5;8x6;8x7;8x8;8x9;9x10;9x3;9x4;9x5;9x6;9x7;9x8;9x9
task089,tasks/task089.json,291331,b61d5f31ef869b53119a2d6bd3fca86087668cfb3c11c00cfe0f203bb46a9207,4,262,1,13x13,13x13
task090,tasks/task090.json,147351,4b36b010f440accbf51547ab3fb19ab40329a49315af0c9df9265dc51d66eb66,4,262,1,2x20;2x21;2x22;2x23;2x24;2x25;2x26;2x27;2x28;2x29;2x30;3x20;3x21;3x22;3x23;3x24;3x25;3x26;3x27;3x28;3x29;3x30;4x20;4x21;4x22;4x23;4x24;4x25;4x26;4x27;4x28;4x29;4x30;5x20;5x21;5x22;5x23;5x24;5x25;5x26;5x27;5x28;5x29;5x30,2x20;2x21;2x22;2x23;2x24;2x25;2x26;2x27;2x28;2x29;2x30;3x20;3x21;3x22;3x23;3x24;3x25;3x26;3x27;3x28;3x29;3x30;4x20;4x21;4x22;4x23;4x24;4x25;4x26;4x27;4x28;4x29;4x30;5x20;5x21;5x22;5x23;5x24;5x25;5x26;5x27;5x28;5x29;5x30
task091,tasks/task091.json,168716,9b36341193134a9d28dc483375d7c703620852e0708533848baf8d68345044b8,3,262,1,10x10;10x11;10x12;10x13;10x14;10x15;10x9;11x10;11x11;11x12;11x13;11x14;11x15;11x9;12x10;12x11;12x12;12x13;12x14;12x15;12x9;13x10;13x11;13x12;13x13;13x14;13x15;13x9;14x10;14x11;14x12;14x13;14x14;14x15;14x9;15x10;15x11;15x12;15x13;15x14;15x15;15x9;9x10;9x11;9x12;9x13;9x14;9x15;9x9,10x11;10x13;10x3;10x4;10x5;10x6;10x7;10x8;10x9;11x10;11x11;11x12;11x3;11x5;11x6;11x7;12x12;12x5;12x6;12x7;12x8;12x9;13x13;13x5;13x7;13x9;14x6;14x7;14x8;3x10;3x11;3x12;3x13;3x3;3x4;3x5;3x6;3x7;3x8;3x9;4x10;4x11;4x12;4x13;4x3;4x4;4x5;4x6;4x7;4x8;4x9;5x10;5x11;5x12;5x14;5x3;5x4;5x5;5x6;5x7;5x8;6x10;6x12;6x3;6x4;6x5;6x6;6x7;6x8;6x9;7x10;7x11;7x3;7x4;7x5;7x6;7x7;7x8;7x9;8x10;8x11;8x12;8x3;8x4;8x5;8x6;8x7;8x8;8x9;9x10;9x12;9x13;9x3;9x4;9x5;9x6;9x7;9x8;9x9
task092,tasks/task092.json,669939,783001b65bcc3dfdb15d50e9dc8bc1f08c0067b22ac7e37d7ecff806344cf394,2,262,1,10x10;10x20;10x30;20x10;20x20;20x30;30x10;30x20;30x30,10x10;10x20;10x30;20x10;20x20;20x30;30x10;30x20;30x30
task093,tasks/task093.json,333139,28e9f1ca9f310922ec563da51e3250fdb1671c050aa19c2d1eed8a02797468e4,3,261,1,14x14,14x14
task094,tasks/task094.json,380309,3b274f6f16607e802f3e7ef7915e01064f383a1db9af66d665400c4de9111b9d,2,262,1,15x15,15x15
task095,tasks/task095.json,144989,e075b5c3648db56f7ecfeec6e71bcc1006e425cc9cb9de4c592b2768a64276af,2,262,1,9x9,9x9
task096,tasks/task096.json,289459,e0de5a69f3087014ddf41b5cf5d5bce97c925e75d3c5e2af8aa31e14b5a27d5e,3,262,1,13x13;13x14;13x15;13x16;13x17;13x18;13x19;14x13;14x14;14x15;14x16;14x17;14x18;14x19;15x13;15x14;15x15;15x16;15x17;15x18;15x19;16x13;16x14;16x15;16x16;16x17;16x18;16x19;17x13;17x14;17x15;17x16;17x17;17x18;17x19;18x13;18x14;18x15;18x16;18x17;18x18;18x19;19x13;19x14;19x15;19x16;19x17;19x18;19x19,11x11;7x7;9x9
task097,tasks/task097.json,268033,bb97b6e64bbed8b4bad1768678e2e69e28d3a530e5def3ca15e454ffedf1c32f,4,262,1,10x10;10x13;10x14;10x15;10x16;10x17;10x5;10x7;10x9;11x10;11x11;11x12;11x13;11x14;11x15;11x16;11x17;11x18;11x19;11x20;11x5;11x6;11x7;11x8;12x13;12x15;12x16;12x17;12x18;12x19;12x20;12x5;12x7;12x8;12x9;13x10;13x11;13x14;13x16;13x18;13x19;13x5;13x6;13x7;13x8;14x11;14x12;14x13;14x16;14x18;14x19;14x6;14x8;15x10;15x13;15x14;15x16;15x17;15x19;15x6;15x7;15x8;15x9;16x10;16x11;16x12;16x13;16x14;16x16;16x17;16x18;16x6;16x7;16x8;17x12;17x14;17x15;17x16;17x18;17x19;17x6;17x7;17x9;18x10;18x11;18x12;18x13;18x14;18x17;18x18;18x19;18x6;18x7;18x8;18x9;19x13;19x14;19x15;19x17;19x20;19x5;19x6;19x7;19x8;20x11;20x12;20x13;20x14;20x16;20x19;20x20;20x7;20x8;20x9;5x10;5x11;5x13;5x14;5x17;5x6;5x9;6x10;6x11;6x12;6x13;6x15;6x16;6x17;6x18;6x19;6x20;6x5;6x9;7x10;7x11;7x13;7x14;7x16;7x17;7x18;7x5;7x6;7x7;7x8;8x10;8x11;8x12;8x13;8x14;8x15;8x16;8x17;8x19;8x20;8x5;8x6;8x7;8x8;8x9;9x12;9x14;9x15;9x17;9x18;9x19;9x5;9x7,10x10;10x13;10x14;10x15;10x16;10x17;10x5;10x7;10x9;11x10;11x11;11x12;11x13;11x14;11x15;11x16;11x17;11x18;11x19;11x20;11x5;11x6;11x7;11x8;12x13;12x15;12x16;12x17;12x18;12x19;12x20;12x5;12x7;12x8;12x9;13x10;13x11;13x14;13x16;13x18;13x19;13x5;13x6;13x7;13x8;14x11;14x12;14x13;14x16;14x18;14x19;14x6;14x8;15x10;15x13;15x14;15x16;15x17;15x19;15x6;15x7;15x8;15x9;16x10;16x11;16x12;16x13;16x14;16x16;16x17;16x18;16x6;16x7;16x8;17x12;17x14;17x15;17x16;17x18;17x19;17x6;17x7;17x9;18x10;18x11;18x12;18x13;18x14;18x17;18x18;18x19;18x6;18x7;18x8;18x9;19x13;19x14;19x15;19x17;19x20;19x5;19x6;19x7;19x8;20x11;20x12;20x13;20x14;20x16;20x19;20x20;20x7;20x8;20x9;5x10;5x11;5x13;5x14;5x17;5x6;5x9;6x10;6x11;6x12;6x13;6x15;6x16;6x17;6x18;6x19;6x20;6x5;6x9;7x10;7x11;7x13;7x14;7x16;7x17;7x18;7x5;7x6;7x7;7x8;8x10;8x11;8x12;8x13;8x14;8x15;8x16;8x17;8x19;8x20;8x5;8x6;8x7;8x8;8x9;9x12;9x14;9x15;9x17;9x18;9x19;9x5;9x7
task098,tasks/task098.json,359718,67b6e359c69ae7e9c69372a523c578988212593b8e84feaeea975d099cb4cff3,3,262,1,10x10;10x11;10x12;10x8;10x9;11x10;11x11;11x12;11x13;11x9;12x10;12x11;12x12;12x13;12x14;13x11;13x12;13x13;13x14;13x15;14x12;14x13;14x14;14x15;14x16;15x13;15x14;15x15;15x16;15x17;16x14;16x15;16x16;16x17;16x18;17x15;17x16;17x17;17x18;17x19;18x16;18x17;18x18;18x19;18x20;19x17;19x18;19x19;19x20;19x21;20x18;20x19;20x20;20x21;20x22;8x10;8x6;8x7;8x8;8x9;9x10;9x11;9x7;9x8;9x9,10x10;10x11;10x12;10x8;10x9;11x10;11x11;11x12;11x13;11x9;12x10;12x11;12x12;12x13;12x14;13x11;13x12;13x13;13x14;13x15;14x12;14x13;14x14;14x15;14x16;15x13;15x14;15x15;15x16;15x17;16x14;16x15;16x16;16x17;16x18;17x15;17x16;17x17;17x18;17x19;18x16;18x17;18x18;18x19;18x20;19x17;19x18;19x19;19x20;19x21;20x18;20x19;20x20;20x21;20x22;8x10;8x6;8x7;8x8;8x9;9x10;9x11;9x7;9x8;9x9
task099,tasks/task099.json,176259,bae06112b1d1e300ae545fecc2a4fcdc01cfd57ba47fa0bcd3968785bfdcc12e,3,261,1,10x10,10x10
task100,tasks/task100.json,96060,e204bd2983aaa7f50a61117c0bf071ce1636169d8c07bcc63a821607c64ee3fd,3,262,1,10x10,2x2
task101,tasks/task101.json,340102,6777ed7126abb84912e4fe7968d80b837369014a46fe94de73a6e1e297af673b,3,262,1,14x12;17x14;17x21,14x12;17x14;17x21
task102,tasks/task102.json,250213,36dfa84fff3575284bc6122f56ea09451cb888636e742a4cb7489a6b9bdc79fd,4,262,1,12x12,12x12
task103,tasks/task103.json,14083,627d6c11997dea70c9305c4f89836fa527b16d5a541b73d3f87a4a756716d0ab,6,215,2,3x3,1x1
task104,tasks/task104.json,2267,c7532610f9449e70937692f6913c0517b4bdb3b40624297bb11501e13921ee71,2,4,1,3x3,9x9
task105,tasks/task105.json,258014,d288f55cfbeafc7244e070045b6fb7a31f1e2450183e0dfb90a7c90fbe2c9fed,3,262,1,10x13;11x13;12x13;13x13;14x13;9x13,10x13;11x13;12x13;13x13;14x13;9x13
task106,tasks/task106.json,36690,45db73bed74cf8369c660df518436363344f350aa3e69a5d6129c440b2adf025,3,262,1,2x2;3x3,4x4;6x6
task107,tasks/task107.json,381674,f4ef70009aafd1d6ce24511f9092156189d46148242929b83e57b1aa789c7490,3,262,1,5x5,10x10;15x15;20x20;25x25;30x30
task108,tasks/task108.json,421644,0616f6cc99110cd5bd944b6417b31175dd9691bcd356220eee926e1e1340bc29,3,262,1,10x10,20x20
task109,tasks/task109.json,162366,0b4d187d27f0ffd40817dcdc9aa4c2af0c286615695b9ba5f0495d6afc94d56e,3,262,1,11x11;13x13;7x7;9x9,10x10;12x12;6x6;8x8
task110,tasks/task110.json,1379776,38709b610761c867cd618cb5825411ed84891cec192a310aaa8ac59e27be910c,3,262,1,29x29,29x29
